Proper polygon specified: -150,-75:-150,-400:400,-400:400,-75
// gen_hazards --polygon=-150,-75:-150,-400:400,-400:400,-75 --objects=150,hazard --objects=400,benign --exp=2
source = actual
hazard = x=310,y=-331,type=hazard,label=91,hazard=true
hazard = x=142,y=-182,type=hazard,label=36,hazard=true
hazard = x=134,y=-266,type=hazard,label=73,hazard=true
hazard = x=184,y=-200,type=hazard,label=66,hazard=true
hazard = x=1,y=-222,type=hazard,label=31,hazard=true
hazard = x=-83,y=-155,type=hazard,label=46,hazard=true
hazard = x=-8,y=-176,type=hazard,label=0,hazard=true
hazard = x=44,y=-256,type=hazard,label=21,hazard=true
hazard = x=102,y=-298,type=hazard,label=9,hazard=true
hazard = x=172,y=-150,type=hazard,label=98,hazard=true
hazard = x=304,y=-376,type=hazard,label=95,hazard=true
hazard = x=255,y=-127,type=hazard,label=54,hazard=true
hazard = x=322,y=-85,type=hazard,label=58,hazard=true
hazard = x=-6,y=-213,type=hazard,label=96,hazard=true
hazard = x=-53,y=-298,type=hazard,label=84,hazard=true
hazard = x=351,y=-258,type=hazard,label=13,hazard=true
hazard = x=50,y=-158,type=hazard,label=51,hazard=true
hazard = x=-57,y=-167,type=hazard,label=38,hazard=true
hazard = x=-6,y=-354,type=hazard,label=94,hazard=true
hazard = x=158,y=-271,type=hazard,label=23,hazard=true
hazard = x=-146,y=-250,type=hazard,label=30,hazard=true
hazard = x=108,y=-300,type=hazard,label=77,hazard=true
hazard = x=177,y=-266,type=hazard,label=12,hazard=true
hazard = x=373,y=-356,type=hazard,label=4,hazard=true
hazard = x=28,y=-290,type=hazard,label=33,hazard=true
hazard = x=271,y=-309,type=hazard,label=81,hazard=true
hazard = x=347,y=-141,type=hazard,label=74,hazard=true
hazard = x=95,y=-377,type=hazard,label=75,hazard=true
hazard = x=62,y=-225,type=hazard,label=52,hazard=true
hazard = x=288,y=-225,type=hazard,label=72,hazard=true
hazard = x=115,y=-131,type=hazard,label=92,hazard=true
hazard = x=223,y=-328,type=hazard,label=42,hazard=true
hazard = x=-131,y=-118,type=hazard,label=6,hazard=true
hazard = x=-16,y=-244,type=hazard,label=97,hazard=true
hazard = x=-107,y=-168,type=hazard,label=93,hazard=true
hazard = x=185,y=-77,type=hazard,label=50,hazard=true
hazard = x=396,y=-241,type=hazard,label=40,hazard=true
hazard = x=-28,y=-284,type=hazard,label=3,hazard=true
hazard = x=-83,y=-113,type=hazard,label=59,hazard=true
hazard = x=-89,y=-189,type=hazard,label=34,hazard=true
hazard = x=-54,y=-230,type=hazard,label=85,hazard=true
hazard = x=-91,y=-219,type=hazard,label=55,hazard=true
hazard = x=354,y=-273,type=hazard,label=18,hazard=true
hazard = x=179,y=-322,type=hazard,label=35,hazard=true
hazard = x=205,y=-355,type=hazard,label=70,hazard=true
hazard = x=-67,y=-336,type=hazard,label=8,hazard=true
hazard = x=17,y=-78,type=hazard,label=90,hazard=true
hazard = x=271,y=-169,type=hazard,label=82,hazard=true
hazard = x=163,y=-86,type=hazard,label=43,hazard=true
hazard = x=-91,y=-253,type=hazard,label=80,hazard=true
hazard = x=239,y=-334,type=hazard,label=24,hazard=true
hazard = x=189,y=-123,type=hazard,label=10,hazard=true
hazard = x=120,y=-264,type=hazard,label=25,hazard=true
hazard = x=213,y=-95,type=hazard,label=26,hazard=true
hazard = x=-44,y=-196,type=hazard,label=15,hazard=true
hazard = x=269,y=-79,type=hazard,label=32,hazard=true
hazard = x=-32,y=-304,type=hazard,label=67,hazard=true
hazard = x=191,y=-154,type=hazard,label=60,hazard=true
hazard = x=21,y=-224,type=hazard,label=86,hazard=true
hazard = x=-41,y=-206,type=hazard,label=89,hazard=true
hazard = x=381,y=-326,type=hazard,label=49,hazard=true
hazard = x=214,y=-196,type=hazard,label=7,hazard=true
hazard = x=49,y=-343,type=hazard,label=87,hazard=true
hazard = x=-110,y=-301,type=hazard,label=53,hazard=true
hazard = x=79,y=-167,type=hazard,label=76,hazard=true
hazard = x=206,y=-149,type=hazard,label=45,hazard=true
hazard = x=0,y=-130,type=hazard,label=28,hazard=true
hazard = x=81,y=-176,type=hazard,label=57,hazard=true
hazard = x=-19,y=-118,type=hazard,label=1,hazard=true
hazard = x=-30,y=-162,type=hazard,label=99,hazard=true
hazard = x=64,y=-303,type=hazard,label=56,hazard=true
hazard = x=297,y=-229,type=hazard,label=39,hazard=true
hazard = x=-119,y=-171,type=hazard,label=22,hazard=true
hazard = x=72,y=-77,type=hazard,label=19,hazard=true
hazard = x=361,y=-139,type=hazard,label=78,hazard=true
hazard = x=-84,y=-97,type=hazard,label=47,hazard=true
hazard = x=-71,y=-85,type=hazard,label=27,hazard=true
hazard = x=69,y=-338,type=hazard,label=17,hazard=true
hazard = x=234,y=-93,type=hazard,label=88,hazard=true
hazard = x=37,y=-170,type=hazard,label=20,hazard=true
hazard = x=361,y=-311,type=hazard,label=65,hazard=true
hazard = x=267,y=-120,type=hazard,label=79,hazard=true
hazard = x=-61,y=-378,type=hazard,label=48,hazard=true
hazard = x=301,y=-164,type=hazard,label=37,hazard=true
hazard = x=312,y=-349,type=hazard,label=63,hazard=true
hazard = x=374,y=-110,type=hazard,label=69,hazard=true
hazard = x=50,y=-97,type=hazard,label=64,hazard=true
hazard = x=182,y=-107,type=hazard,label=11,hazard=true
hazard = x=151,y=-160,type=hazard,label=62,hazard=true
hazard = x=262,y=-234,type=hazard,label=71,hazard=true
hazard = x=393,y=-219,type=hazard,label=2,hazard=true
hazard = x=244,y=-179,type=hazard,label=29,hazard=true
hazard = x=208,y=-295,type=hazard,label=68,hazard=true
hazard = x=214,y=-349,type=hazard,label=14,hazard=true
hazard = x=-141,y=-129,type=hazard,label=16,hazard=true
hazard = x=-92,y=-168,type=hazard,label=61,hazard=true
hazard = x=362,y=-185,type=hazard,label=41,hazard=true
hazard = x=342,y=-104,type=hazard,label=44,hazard=true
hazard = x=328,y=-212,type=hazard,label=83,hazard=true
hazard = x=23,y=-248,type=hazard,label=5,hazard=true
hazard = x=-64,y=-244,type=hazard,label=508,hazard=true
hazard = x=134,y=-147,type=hazard,label=428,hazard=true
hazard = x=219,y=-235,type=hazard,label=627,hazard=true
hazard = x=341,y=-193,type=hazard,label=465,hazard=true
hazard = x=-145,y=-342,type=hazard,label=889,hazard=true
hazard = x=320,y=-338,type=hazard,label=312,hazard=true
hazard = x=144,y=-315,type=hazard,label=456,hazard=true
hazard = x=90,y=-369,type=hazard,label=714,hazard=true
hazard = x=363,y=-306,type=hazard,label=271,hazard=true
hazard = x=101,y=-285,type=hazard,label=700,hazard=true
hazard = x=45,y=-307,type=hazard,label=900,hazard=true
hazard = x=253,y=-155,type=hazard,label=457,hazard=true
hazard = x=31,y=-192,type=hazard,label=938,hazard=true
hazard = x=146,y=-332,type=hazard,label=760,hazard=true
hazard = x=343,y=-253,type=hazard,label=438,hazard=true
hazard = x=321,y=-232,type=hazard,label=688,hazard=true
hazard = x=282,y=-191,type=hazard,label=127,hazard=true
hazard = x=-102,y=-217,type=hazard,label=266,hazard=true
hazard = x=-55,y=-398,type=hazard,label=548,hazard=true
hazard = x=301,y=-314,type=hazard,label=723,hazard=true
hazard = x=396,y=-143,type=hazard,label=921,hazard=true
hazard = x=338,y=-275,type=hazard,label=544,hazard=true
hazard = x=5,y=-119,type=hazard,label=519,hazard=true
hazard = x=323,y=-330,type=hazard,label=252,hazard=true
hazard = x=382,y=-170,type=hazard,label=528,hazard=true
hazard = x=-55,y=-266,type=hazard,label=264,hazard=true
hazard = x=-132,y=-272,type=hazard,label=329,hazard=true
hazard = x=-80,y=-237,type=hazard,label=595,hazard=true
hazard = x=270,y=-278,type=hazard,label=176,hazard=true
hazard = x=183,y=-397,type=hazard,label=863,hazard=true
hazard = x=278,y=-76,type=hazard,label=840,hazard=true
hazard = x=223,y=-145,type=hazard,label=659,hazard=true
hazard = x=154,y=-227,type=hazard,label=655,hazard=true
hazard = x=79,y=-198,type=hazard,label=976,hazard=true
hazard = x=68,y=-123,type=hazard,label=669,hazard=true
hazard = x=-28,y=-377,type=hazard,label=199,hazard=true
hazard = x=187,y=-158,type=hazard,label=965,hazard=true
hazard = x=169,y=-277,type=hazard,label=589,hazard=true
hazard = x=40,y=-107,type=hazard,label=687,hazard=true
hazard = x=131,y=-180,type=hazard,label=242,hazard=true
hazard = x=310,y=-250,type=hazard,label=357,hazard=true
hazard = x=273,y=-85,type=hazard,label=969,hazard=true
hazard = x=101,y=-86,type=hazard,label=895,hazard=true
hazard = x=258,y=-124,type=hazard,label=885,hazard=true
hazard = x=-8,y=-343,type=hazard,label=422,hazard=true
hazard = x=-27,y=-365,type=hazard,label=102,hazard=true
hazard = x=239,y=-270,type=hazard,label=275,hazard=true
hazard = x=-100,y=-336,type=hazard,label=654,hazard=true
hazard = x=-30,y=-293,type=hazard,label=763,hazard=true
hazard = x=309,y=-245,type=hazard,label=335,hazard=true
hazard = x=-112,y=-163,type=benign,label=435,hr=0.01254,hazard=false
hazard = x=79,y=-212,type=benign,label=406,hr=0.00865,hazard=false
hazard = x=116,y=-325,type=benign,label=912,hr=0.03276,hazard=false
hazard = x=274,y=-216,type=benign,label=417,hr=0.50126,hazard=false
hazard = x=274,y=-192,type=benign,label=592,hr=0.19892,hazard=false
hazard = x=35,y=-371,type=benign,label=360,hr=0.41474,hazard=false
